file	line	surface	text
scripts/activations/api-reference-popup.js	96	placeholder	Search all functions...
scripts/activations/flow-steps-extra.js	119	dialog-title	THROW ${item.name}
scripts/activations/flow-steps-extra.js	165	dialog-title	${itemName} Knockback
scripts/activations/flow-steps-extra.js	39	prose-field	This weapon can be thrown.
scripts/activations/flow-steps.js	110	notification	${targetToken.name} is immune to Critical Hits!
scripts/activations/flow-steps.js	118	notification	${targetToken.name} is immune to miss and hit - these effects cancel each other
scripts/activations/flow-steps.js	128	notification	${targetToken.name} is immune to miss - attack hits!
scripts/activations/flow-steps.js	144	notification	${targetToken.name} is immune to Hits: attack misses!
scripts/activations/flow-steps.js	527	dev-message	lancer-automations | Unknown flow type "${state.name}". Cannot re-launch.
scripts/activations/flow-steps.js	907	notification	${token.name} has no reaction available!
scripts/activations/flow-steps.js	225	dialog-title	DAMAGE PREVENTED
scripts/activations/flow-steps.js	310	dialog-title	STRUCTURE PREVENTED
scripts/activations/flow-steps.js	331	dialog-title	STRUCTURE OUTCOME OVERRIDDEN
scripts/activations/flow-steps.js	354	dialog-title	STRESS PREVENTED
scripts/activations/flow-steps.js	375	dialog-title	STRESS OUTCOME OVERRIDDEN
scripts/activations/flow-steps.js	732	dialog-title	CHECK CANCELED
scripts/activations/flow-steps.js	761	dialog-title	ATTACK CANCELED
scripts/activations/flow-steps.js	791	dialog-title	TECH ATTACK CANCELED
scripts/activations/flow-steps.js	716	html-content	<div class="lancer-chat-message"><b>${statLabel}</b><br>
scripts/activations/flow-wraps.js	641	notification	${action.name} has not recharged! (Recharge ${action.recharge}+)
scripts/activations/flow-wraps.js	145	text-node	Flat Modifier
scripts/activations/reaction-export-import.js	65	notification	Please select a file to import.
scripts/activations/reaction-export-import.js	76	notification	Failed to parse file: ${e.message}
scripts/activations/reaction-export-import.js	481	notification	Nothing selected to export.
scripts/activations/reaction-export-import.js	495	notification	Exported pack "${name}".
scripts/activations/reaction-export-import.js	525	notification	Please select a file to import.
scripts/activations/reaction-export-import.js	533	notification	That file isn't a Lancer Automations pack.
scripts/activations/reaction-export-import.js	540	notification	Failed to parse file: ${e.message}
scripts/activations/reaction-export-import.js	694	notification	Imported pack "${packName}"${addedStartups ? 
scripts/activations/reaction-export-import.js	13	dialog-title	Export Configuration
scripts/activations/reaction-export-import.js	35	dialog-title	Import Configuration
scripts/activations/reaction-export-import.js	47	dialog-title	Import Configuration
scripts/activations/reaction-export-import.js	222	dialog-title	Review Import
scripts/activations/reaction-export-import.js	469	dialog-title	Export Pack
scripts/activations/reaction-export-import.js	508	dialog-title	Import Pack
scripts/activations/reaction-export-import.js	583	dialog-title	Import Pack
scripts/activations/reaction-export-import.js	623	dialog-title	Folder Already Exists
scripts/activations/reaction-export-import.js	48	html-content	                 <form>                     <div class="form-group">                         <label>Select JSON File</label>                         <input type="file" name="importFile" accept=".json" style="width: 100%;">                     </div>                 </form>             
scripts/activations/reaction-export-import.js	509	html-content	             <form>                 <div class="form-group">                     <label>Select pack JSON file</label>                     <input type="file" name="packFile" accept=".json" style="width:100%;">                 </div>             </form>
scripts/activations/reaction-export-import.js	624	html-content	<p>A folder named <b>${esc(name)}</b> already exists.</p><p>Merge the pack into it, or create a new folder?</p>
scripts/activations/reaction-manager.js	81	dev-message	lancer-automations | Evaluation for "${reaction?.name || 'Activation'}" is async and ${reason} without "Await Activation Completion". This will likely fail to block movement or timing-sensitive bonuses.
scripts/activations/reaction-manager.js	510	notification	Configuration exported successfully.
scripts/activations/reaction-manager.js	639	notification	Import applied.
scripts/activations/reaction-manager.js	644	notification	Failed to apply import: ${error.message}
scripts/activations/reaction-manager.js	1187	notification	Copied LID: ${result.lid}
scripts/activations/reaction-manager.js	2031	notification	Script name is required.
scripts/activations/reaction-manager.js	2353	notification	Activation copied to clipboard.
scripts/activations/reaction-manager.js	2357	notification	Failed to copy to clipboard.
scripts/activations/reaction-manager.js	2395	notification	Compiled ${compiled} function(s) under dynamic/${base}/ - see devtools Sources.
scripts/activations/reaction-manager.js	2406	notification	Clipboard does not contain a valid activation.
scripts/activations/reaction-manager.js	2414	notification	Failed to load from clipboard: invalid JSON.
scripts/activations/reaction-manager.js	3325	notification	Please select an item or deployable first.
scripts/activations/reaction-manager.js	3362	notification	Item or deployable with LID "${lid}" not found in any compendium.
scripts/activations/reaction-manager.js	3629	notification	Custom trigger "${customTrigger}": names cannot start with "onInit".
scripts/activations/reaction-manager.js	3649	notification	Activation Name is required for general activations
scripts/activations/reaction-manager.js	3720	notification	Item LID is required
scripts/activations/reaction-manager.js	671	dialog-title	Activation Manager
scripts/activations/reaction-manager.js	1402	dialog-title	Create Folder
scripts/activations/reaction-manager.js	1463	dialog-title	Rename Folder
scripts/activations/reaction-manager.js	1499	dialog-title	Delete Folder
scripts/activations/reaction-manager.js	1630	dialog-title	Activation Manager Help
scripts/activations/reaction-manager.js	1865	dialog-title	Delete Startup Script
scripts/activations/reaction-manager.js	1903	dialog-title	Reload Required
scripts/activations/reaction-manager.js	1927	dialog-title	Startup Script
scripts/activations/reaction-manager.js	2073	dialog-title	Edit Activation
scripts/activations/reaction-manager.js	3124	dialog-title	Unsaved changes
scripts/activations/reaction-manager.js	3253	dialog-title	Edit ${title}
scripts/activations/reaction-manager.js	3518	dialog-title	Select Action
scripts/activations/reaction-manager.js	3824	dialog-title	Find Actor
scripts/activations/reaction-manager.js	3530	ui-label	<i class="fas fa-minus"></i> ${localize("LA.activationManager.noSpecificAction")}
scripts/activations/reaction-manager.js	3534	ui-label	<i class="fas fa-times"></i> ${localize("LA.common.cancel")}
scripts/activations/reaction-manager.js	1406	placeholder	Enter folder name...
scripts/activations/reaction-manager.js	1403	html-content	                         <div class="form-group">                             <label>Folder Name</label>                             <input type="text" name="folderName" placeholder="Enter folder name..." autofocus>                         </div>                     
scripts/activations/reaction-manager.js	1464	html-content	                         <div class="form-group">                             <label>New Name</label>                             <input type="text" name="folderName" value="${oldName}" autofocus>                         </div>                     
scripts/activations/reaction-manager.js	1500	html-content	                         <div class="form-group">                             <p style="margin-bottom: 10px;">Are you sure you want to delete folder "<strong>${folderName}</strong>"?</p>                             <p class="notes">Choose whether to keep the activations inside the folder (unfiled) or delete them entirely.</p>                         </div>                     
scripts/activations/reaction-manager.js	1866	html-content	<p>Delete script "<strong>${scripts[idx].name}</strong>"?</p>
scripts/activations/reaction-manager.js	1904	html-content	<p>Changes made to activations or startup scripts require a reload to apply. Reload now?</p>
scripts/activations/reaction-manager.js	3125	html-content	<p style='padding:4px 2px;'>This activation has unsaved changes.</p>
scripts/activations/reaction-reset.js	58	notification	Lancer Reaction Checker: Module reset to defaults.
scripts/activations/reaction-reset.js	64	notification	Error resetting module: 
scripts/activations/reaction-reset.js	12	dialog-title	Reset Lancer Reaction Checker
scripts/activations/reaction-reset.js	25	dialog-title	Reset Module Defaults
scripts/activations/reactions-engine.js	403	notification	${reactionName} (${token?.name ?? '?'}): not triggered, out of combat.
scripts/activations/reactions-engine.js	550	notification	${reactionName} (${sceneName}): not triggered, out of combat.
scripts/activations/reactions-engine.js	580	dev-message	lancer-automations | Flow "${flowName}" not found.
scripts/activations/reactions-engine.js	670	dev-message	lancer-automations | startRelatedFlow: no actor found.
scripts/activations/reactions-engine.js	675	dev-message	lancer-automations | startRelatedFlow: action type "${actionType}" will be launched but may not behave as expected.
scripts/activations/reactions-engine.js	756	dev-message	lancer-automations | ${message}
scripts/activations/reactions-engine.js	952	notification	${item.name} (${token.name}): not triggered, out of combat.
scripts/activations/reactions-engine.js	1653	dev-message	lancer-automations | dispatchCustomTrigger: "${name}" is not a valid custom trigger name.
scripts/activations/reactions-engine.js	1690	dev-message	lancer-automations | startRelatedFlow: action type "${actionType}" cannot be re-launched as a flow.
scripts/activations/reactions-engine.js	1695	dev-message	lancer-automations | startRelatedFlow: no actor found.
scripts/activations/reactions-engine.js	1706	dev-message	lancer-automations | startRelatedFlow: no item or action data available for this trigger.
scripts/activations/reactions-engine.js	619	prose-field	Waiting for ${game.users.get(targetUserId)?.name ?? 'remote user'}…
scripts/activations/reactions-engine.js	714	prose-field	Waiting for ${game.users.get(targetUserId)?.name ?? 'remote user'}…
scripts/activations/reactions-registry.js	1035	notification	${reactorToken.name} stabilizes as a Quick Action (Aided).
scripts/activations/reactions-registry.js	1431	notification	Reactor Meltdown: no turn count provided.
scripts/activations/reactions-registry.js	1445	notification	⚠️ Reactor Meltdown initiated! Explosion in ${selectedTurns} turn${selectedTurns > 1 ? 's' : ''}!
scripts/activations/reactions-registry.js	1495	notification	Eject: this action must be used by a mech token.
scripts/activations/reactions-registry.js	1507	notification	Eject: no linked pilot found on ${mechActor.name}.
scripts/activations/reactions-registry.js	1542	notification	${pilotActor.name} has ejected from ${mechActor.name}!
scripts/activations/reactions-registry.js	1877	notification	Dismount: this action must be used by a mech token.
scripts/activations/reactions-registry.js	1887	notification	Dismount: no linked pilot found on ${mechActor.name}.
scripts/activations/reactions-registry.js	1965	notification	${reactorToken.name} found ${targetToken.name}!
scripts/activations/reactions-registry.js	2100	notification	${reactorToken.name} failed to Jockey ${mechToken.name}.
scripts/activations/reactions-registry.js	49	dialog-title	CUSTOM PAINT JOB
scripts/activations/reactions-registry.js	223	dialog-title	LIMITED HANDLING
scripts/activations/reactions-registry.js	275	dialog-title	VETERANCY
scripts/activations/reactions-registry.js	363	dialog-title	Overwatch
scripts/activations/reactions-registry.js	409	dialog-title	OVERWATCH
scripts/activations/reactions-registry.js	431	dialog-title	WAITING - ${reactorToken.name.toUpperCase()} OVERWATCH
scripts/activations/reactions-registry.js	551	dialog-title	Brace
scripts/activations/reactions-registry.js	728	dialog-title	FLYING - ${statusName}
scripts/activations/reactions-registry.js	750	dialog-title	FLYING - ${label}
scripts/activations/reactions-registry.js	789	dialog-title	LOCK ON - Select Target
scripts/activations/reactions-registry.js	1463	dialog-title	Reactor Explosion
scripts/activations/reactions-registry.js	1527	dialog-title	Eject - Place Pilot
scripts/activations/reactions-registry.js	1760	dialog-title	MINE TRIGGER ZONE
scripts/activations/reactions-registry.js	1904	dialog-title	Dismount - Place Pilot
scripts/activations/reactions-registry.js	1941	dialog-title	SEARCH
scripts/activations/reactions-registry.js	2013	dialog-title	MOUNT
scripts/activations/reactions-registry.js	2054	dialog-title	DISMOUNT
scripts/activations/reactions-registry.js	2078	dialog-title	JOCKEY
scripts/activations/reactions-registry.js	2092	dialog-title	JOCKEY - GRIT vs HULL
scripts/activations/reactions-registry.js	2105	dialog-title	JOCKEY
scripts/activations/reactions-registry.js	148	prose-field	Treads or Hover
scripts/activations/reactions-registry.js	224	prose-field	<b>${reactorToken.name}</b> can only clear Prone while adjacent to an allied character. Is an ally adjacent?
scripts/activations/reactions-registry.js	368	prose-field	Trigger: A hostile character starts any movement (including BOOST and other actions) inside one of your weapons' THREAT.<br>Effect: Trigger OVERWATCH, immediately using that weapon to SKIRMISH against that character as a reaction, before they move.
scripts/activations/reactions-registry.js	411	prose-field	<b>${mover.name}</b> is moving through <b>${reactorToken.name}</b>'s threat range. Fire?
scripts/activations/reactions-registry.js	432	prose-field	Waiting for <b>${reactorToken.name}</b> to resolve Overwatch against <b>${mover.name}</b>.
scripts/activations/reactions-registry.js	556	prose-field	You count as having RESISTANCE to all damage, burn, and heat from the triggering attack, and until the end of your next turn, all other attacks against you are made at +1 difficulty. Due to the stress of bracing, you cannot take reactions until the end of your next turn and on that turn, you can only take one quick action – you cannot OVERCHARGE, move normally, take full actions, or take free actions.
scripts/activations/reactions-registry.js	729	prose-field	<b>${reactorToken.name}</b> is Flying and received <b>${statusName}</b>. Remove Flying?
scripts/activations/reactions-registry.js	733	prose-field	Remove Flying
scripts/activations/reactions-registry.js	751	prose-field	<b>${reactorToken.name}</b> took ${label} while Flying. Roll AGILITY save or lose Flying.
scripts/activations/reactions-registry.js	755	prose-field	Roll AGI Save
scripts/activations/reactions-registry.js	799	prose-field	Lock On
scripts/activations/reactions-registry.js	867	prose-field	Bolster
scripts/activations/reactions-registry.js	1096	prose-field	Make a melee attack against an adjacent character the same SIZE or smaller than you. On a success, your target is knocked PRONE and you may also choose to knock them back by one space, directly away from you.
scripts/activations/reactions-registry.js	1119	prose-field	Ram by 
scripts/activations/reactions-registry.js	1168	prose-field	<b>${reactorToken.name}</b> is hanging in the air. Does it fall?
scripts/activations/reactions-registry.js	1174	prose-field	Yes, it falls
scripts/activations/reactions-registry.js	1465	prose-field	Trigger the explosion?
scripts/activations/reactions-registry.js	1467	prose-field	Trigger Reactor Explosion
scripts/activations/reactions-registry.js	1528	prose-field	Place ${pilotActor.name} within 6 spaces of ${mechActor.name}.
scripts/activations/reactions-registry.js	1539	prose-field	Eject
scripts/activations/reactions-registry.js	1648	prose-field	Mine Stealth
scripts/activations/reactions-registry.js	1680	prose-field	Mine Armed
scripts/activations/reactions-registry.js	1768	prose-field	Try disarm (SYS)
scripts/activations/reactions-registry.js	1905	prose-field	Place ${pilotActor.name} adjacent to ${mechActor.name}.
scripts/activations/reactions-registry.js	2014	prose-field	${pilotName} is mounting. Choose the mech to board.
scripts/activations/reactions-registry.js	2055	prose-field	${pilotActor.name} dismounts from ${reactorToken.name}.
scripts/activations/reactions-registry.js	2079	prose-field	Choose the adjacent mech to JOCKEY.
scripts/activations/reactions-registry.js	2106	prose-field	${reactorToken.name} climbs onto ${mechToken.name}. Choose one:
scripts/activations/reactions-registry.js	76	html-content	<b>Custom Paint Job - Success!</b> The hit simply scratched the paint. Back to 1 HP.
scripts/activations/reactions-registry.js	89	html-content	<b>Custom Paint Job - Failed!</b> Rolled ${roll.total}, needed 6.
scripts/activations/reactions-ui.js	22	notification	Macro "${macroName}" not found
scripts/activations/reactions-ui.js	637	dialog-title	Activation Opportunity: ${triggerDisplay}
scripts/activations/reactions-ui.js	640	ui-label	ACKNOWLEDGE
scripts/activations/reactions-ui.js	192	prose-field	<strong>Trigger:</strong> ${triggerText}<br><strong>Effect:</strong> ${effectText}
scripts/activations/reroll.js	426	dialog-title	${upperName} \u2014 USE REROLL?
scripts/activations/reroll.js	441	dialog-title	${upperName} \u2014 KEEP WHICH?
scripts/activations/stabilize-flow.js	13	notification	${targetActor?.name ?? 'Actor'} has no conditions to clear.
scripts/activations/stabilize-flow.js	164	notification	Pick one option from each group.
scripts/activations/stabilize-flow.js	169	notification	Select a condition to clear first.
scripts/activations/stabilize-flow.js	90	dialog-title	Stabilize - ${actor.name}
scripts/activations/stabilize-flow.js	154	dialog-title	Stabilize - ${actor.name}
scripts/activations/stabilize-flow.js	215	dialog-title	PICK ALLY
scripts/activations/workshop-browser.js	412	notification	Could not open ${fileNameOf(path)}: ${err.message}
scripts/activations/workshop-browser.js	451	notification	${fileNameOf(path)} is not a recognized automation, pack, or startup file.
scripts/activations/workshop-browser.js	622	notification	Workshop refresh failed: ${err.message}
scripts/activations/workshop-browser.js	774	notification	Nothing selected.
scripts/activations/workshop-browser.js	791	notification	Imported ${imported} workshop entr${imported === 1 ? 'y' : 'ies'}.
scripts/activations/workshop-browser.js	793	notification	Import failed: ${message}
scripts/activations/workshop-browser.js	836	notification	Nothing selected.
scripts/activations/workshop-browser.js	840	notification	Imported ${picked.length} entr${picked.length === 1 ? 'y' : 'ies'} from ${json.name || fileNameOf(path)}.
scripts/activations/workshop-browser.js	824	dialog-title	Pack: ${json.name || fileNameOf(path)} (${author})
scripts/activations/workshop-browser.js	829	ui-label	Import selected
scripts/activations/workshop-browser.js	843	ui-label	Close
scripts/alt-struct/index.js	196	notification	Lancer Automations: Alt Structure feature is enabled but the standalone 'lancer-alt-structure' module is also active - integrated version will not load. Disable one of them.
scripts/alt-struct/index.js	219	notification	Lancer Automations (Alt Structure): flow conflict detected. The other module's changes will be overwritten. ${parts.join(" | ")}. See console.
scripts/alt-struct/index.js	251	notification	Invalid actor ID on check button.
scripts/alt-struct/index.js	270	notification	Missing flow type or actor ID on alt-struct button.
scripts/alt-struct/index.js	283	notification	Alt-struct flow "${flowType}" not registered.
scripts/alt-struct/index.js	39	dialog-title	Equipment Destruction
scripts/alt-struct/stress.js	53	notification	Only npcs and mechs can roll stress.
scripts/alt-struct/stress.js	78	notification	The mech is at full Stress, no stress check to roll.
scripts/alt-struct/stress.js	126	notification	Only npcs and mechs can roll stress.
scripts/alt-struct/stress.js	153	notification	Only npcs and mechs can roll stress.
scripts/alt-struct/stress.js	400	notification	Only npcs and mechs can perform this action.
scripts/alt-struct/stress.js	416	notification	Only npcs and mechs can roll meltdown.
scripts/alt-struct/stress.js	477	notification	Only npcs and mechs can have reactor meltdown.
scripts/alt-struct/stress.js	405	dialog-title	Meltdown
scripts/alt-struct/stress.js	424	dialog-title	MELTDOWN COUNTDOWN
scripts/alt-struct/stress.js	436	dialog-title	Reactor Meltdown Countdown
scripts/alt-struct/stress.js	216	prose-field	Critical Stress Failure
scripts/alt-struct/stress.js	221	prose-field	Critical Stress Failure
scripts/alt-struct/stress.js	246	prose-field	Power Fail
scripts/alt-struct/stress.js	264	prose-field	Emergency Shunt
scripts/alt-struct/stress.js	283	prose-field	Meltdown
scripts/alt-struct/stress.js	325	prose-field	Engineering Check Success
scripts/alt-struct/stress.js	336	prose-field	Engineering Check Failure
scripts/alt-struct/stress.js	350	prose-field	Engineering Check Success
scripts/alt-struct/stress.js	361	prose-field	Engineering Check Failure
scripts/alt-struct/stress.js	375	prose-field	Engineering Check Success
scripts/alt-struct/stress.js	437	prose-field	Your reactor will melt down in ${countdown} turn${countdown > 1 ? 's' : ''}.
scripts/alt-struct/stress.js	520	prose-field	NPC Overheat
scripts/alt-struct/structure.js	109	notification	Only npcs and mechs can perform this action.
scripts/alt-struct/structure.js	202	notification	The mech is at full Structure, no structure check to roll.
scripts/alt-struct/structure.js	676	notification	This item cannot be destroyed.
scripts/alt-struct/structure.js	773	notification	No token selected!
scripts/alt-struct/structure.js	779	notification	Selected token must be a mech or NPC!
scripts/alt-struct/structure.js	790	notification	No weapons or systems available to destroy!
scripts/alt-struct/structure.js	828	notification	System Trauma: ${itemsList} destroyed
scripts/alt-struct/structure.js	54	dialog-title	Weapons Destroyed
scripts/alt-struct/structure.js	61	dialog-title	System Destroyed
scripts/alt-struct/structure.js	76	dialog-title	TEAR OFF
scripts/alt-struct/structure.js	660	dialog-title	System Trauma
scripts/alt-struct/structure.js	796	dialog-title	SYSTEM TRAUMA
scripts/alt-struct/structure.js	894	dialog-title	System Trauma - No Equipment Available
scripts/alt-struct/structure.js	998	dialog-title	System Trauma  - No Equipment Available
scripts/alt-struct/structure.js	1085	dialog-title	Direct Hit - No Equipment Available
scripts/alt-struct/structure.js	62	prose-field	System <strong>${choice.system.name}</strong> has been destroyed.
scripts/alt-struct/structure.js	77	prose-field	1-3: a weapon mount. 4-6: a system.
scripts/alt-struct/structure.js	800	prose-field	Weapon Mount
scripts/alt-struct/structure.js	808	prose-field	System
scripts/alt-struct/structure.js	1241	prose-field	Crushing Hit - Cannot take reactions, can only take one quick action
scripts/alt-struct/structure.js	1293	prose-field	Direct Hit
scripts/alt-struct/structure.js	1311	prose-field	Glancing Blow
scripts/alt-struct/structure.js	833	html-content	       <div class="card clipped-bot" style="margin: 0px;">         <div class="lancer-header lancer-primary">           <i class="cci cci-structure i--m"></i> SYSTEM TRAUMA         </div>         <div class="effect-text">           <p><strong>Type:</strong> ${traumaType === "weapon" ? "Weapon Destruction" : "System Destruction"}</p>           <p><strong>Destroyed:</strong> ${itemsList}</p>         </div>       </div>     
scripts/Battelog/awards.js	19	ui-label	EXECUTIONER
scripts/Battelog/awards.js	29	ui-label	HEAVY HITTER
scripts/Battelog/awards.js	39	ui-label	OVERCLOCK
scripts/Battelog/awards.js	49	ui-label	ANCHOR
scripts/Battelog/awards.js	59	ui-label	HEAT SINK
scripts/Battelog/awards.js	69	ui-label	SUPPORT
scripts/Battelog/awards.js	79	ui-label	TURBO
scripts/Battelog/awards.js	89	ui-label	SHARPSHOOTER
scripts/Battelog/awards.js	106	ui-label	HACKER
scripts/Battelog/awards.js	122	ui-label	GHOST
scripts/Battelog/awards.js	132	ui-label	FIREWALL
scripts/Battelog/awards.js	142	ui-label	STEADFAST
scripts/Battelog/awards.js	158	ui-label	BULLSEYE
scripts/Battelog/awards.js	168	ui-label	BRAWLER
scripts/Battelog/awards.js	178	ui-label	BLITZ
scripts/Battelog/awards.js	188	ui-label	FIRST BLOOD
scripts/Battelog/awards.js	198	ui-label	AVENGER
scripts/Battelog/awards.js	208	ui-label	OVERKILL
