key	english
LA.settingsMenus.tah.uiSound.hover.label	Hover
LA.settingsMenus.tah.uiSound.open.label	Open
LA.settingsMenus.tah.uiSound.details.label	Details
LA.settingsMenus.tah.uiSound.toggle.label	Toggle
LA.settingsMenus.tah.uiSound.statusHover.label	Status Hover
LA.settingsMenus.tah.uiSound.battleLogHover.label	Battle Log Hover
LA.settingsMenus.tah.uiSound.battleLogClick.label	Battle Log Click
LA.settingsMenus.tah.tokenSound.tokenHover.label	Hover
LA.settingsMenus.tah.tokenSound.tokenSelect.label	Select
LA.settingsMenus.tah.tokenSound.tokenDeselect.label	Deselect
LA.settingsMenus.tah.tokenSound.tokenTarget.label	Target
LA.settingsMenus.tah.tokenSound.tokenUntarget.label	Untarget
LA.settingsMenus.tah.tokenSound.tokenDrag.label	Drag
LA.settingsMenus.tah.tokenSound.tokenMove.label	Move
LA.settingsMenus.tah.tokenSound.elevationKey.label	Elevation Key
LA.settingsMenus.tah.tokenSound.targeting.label	Targeting
LA.settingsMenus.tah.tokenSound.targetingConfirm.label	Targeting Confirm
LA.settingsMenus.tah.damageSound.kinetic.label	Kinetic
LA.settingsMenus.tah.damageSound.energy.label	Energy
LA.settingsMenus.tah.damageSound.explosive.label	Explosive
LA.settingsMenus.tah.damageSound.variable.label	Variable
LA.settingsMenus.tah.damageSound.heat.label	Heat
LA.settingsMenus.tah.damageSound.burn.label	Burn
LA.settingsMenus.tah.damageSound.infection.label	Infection
LA.settingsMenus.tah.damageSound.armor.label	Armor
LA.settingsMenus.tah.damageSound.hit_overshield.label	Hit overshield
LA.settingsMenus.tah.damageSound.overshield.label	Overshield
LA.settingsMenus.tah.statSound.hp_loss.label	Hp loss
LA.settingsMenus.tah.statSound.hp_heal.label	Hp heal
LA.settingsMenus.tah.statSound.heat_clean.label	Heat clean
LA.settingsMenus.tah.statSound.stress_hit.label	Stress hit
LA.settingsMenus.tah.statSound.stress_heal.label	Stress heal
LA.settingsMenus.tah.statSound.xp_gain.label	Xp gain
LA.settingsMenus.tah.statSound.xp_loss.label	Xp loss
LA.settingsMenus.tah.statSound.miss.label	Miss
LA.settingsMenus.tah.statSound.hit.label	Hit
LA.settingsMenus.tah.statSound.crit.label	Crit
LA.settingsMenus.tah.statSound.success.label	Success
LA.settingsMenus.tah.statSound.fail.label	Fail
LA.settingsMenus.tah.statSound.generic_stat.label	Generic stat
LA.settingsMenus.tah.statusSfx.bonus.label	Bonus
LA.settingsMenus.tah.statusSfx.status.label	Status
LA.settingsMenus.tah.actionFxSound.skirmish.label	Skirmish
LA.settingsMenus.tah.actionFxSound.eject.label	Eject
LA.settingsMenus.tah.actionFxSound.selfDestruct.label	Self Destruct
LA.settingsMenus.tah.actionFxSound.teleport.label	Teleport
LA.settingsMenus.tah.actionFxSound.bootUp.label	Boot Up
LA.settingsMenus.tah.actionFxSound.dismount.label	Dismount
LA.settingsMenus.tah.actionFxSound.mount.label	Mount
LA.settingsMenus.tah.actionFxSound.disengage.label	Disengage
LA.settingsMenus.tah.actionFxSound.deployable.label	Deployable
LA.settingsMenus.tah.actionFxSound.freeAction.label	Free Action
LA.settingsMenus.tah.actionFxSound.corePower.label	Core Power
LA.settingsMenus.tah.actionFxSound.protocol.label	Protocol
LA.settingsMenus.tah.actionFxSound.activation.label	Activation
LA.settingsMenus.tah.actionFxSound.reaction.label	Reaction
LA.settingsMenus.tah.actionFxSound.fullAction.label	Full Action
LA.settingsMenus.tah.actionFxSound.quickAction.label	Quick Action
LA.settingsMenus.tah.actionFxSound.standingUp.label	Standing Up
LA.settingsMenus.tah.actionFxSound.prepare.label	Prepare
LA.settingsMenus.tah.actionFxSound.interact.label	Interact
LA.settingsMenus.tah.actionFxSound.handle.label	Handle
LA.settingsMenus.tah.actionFxSound.fullTech.label	Full Tech
LA.settingsMenus.tah.actionFxSound.quickTech.label	Quick Tech
LA.settingsMenus.tah.actionFxSound.invade.label	Invade
LA.settingsMenus.tah.actionFxSound.grapple.label	Grapple
LA.settingsMenus.tah.actionFxSound.ram.label	Ram
LA.settingsMenus.tah.actionFxSound.jockey.label	Jockey
LA.settingsMenus.tah.actionFxSound.barrage.label	Barrage
LA.settingsMenus.tah.actionFxSound.boost.label	Boost
LA.settingsMenus.tah.actionFxSound.overchargeNpc.label	Overcharge Npc
LA.settingsMenus.tah.actionFxSound.hide.label	Hide
LA.settingsMenus.tah.actionFxSound.shutDown.label	Shut Down
LA.settingsMenus.tah.actionFxSound.fall.label	Fall
LA.settingsMenus.tah.actionFxSound.fallImpact.label	Fall Impact
LA.settingsMenus.tah.actionFxSound.search.label	Search
LA.settingsMenus.tah.actionFxSound.scan.label	Scan
LA.settingsMenus.tah.actionFxSound.targetSuccess.label	Target Success
LA.settingsMenus.tah.actionFxSound.defaultThrow.label	Default Throw
LA.settingsMenus.tah.actionFxSound.targetFail.label	Target Fail
LA.settingsMenus.tah.actionFxSound.reload.label	Reload
LA.settingsMenus.tah.actionFxSound.fight.label	Fight
LA.settingsMenus.tah.actionFxSound.mineDetonation.label	Mine Detonation
LA.settingsMenus.tah.actionFxSound.profile.label	Profile
LA.settingsMenus.tah.actionFxSound.mod.label	Mod
LA.settingsMenus.tah.actionFxSound.attack.label	Attack
LA.settingsMenus.tah.actionFxSound.damage.label	Damage
LA.settingsMenus.tah.actionFxSound.hase.label	Hase
LA.settingsMenus.tah.actionFxSound.skill.label	Skill
